"NUM OF MASTER 
PARAMS",Num of Strings,Num of Groups,List Descriptor String,Data to AUTOMATICALLY DROP,Num of Outputs,,,,,,,,,,,,,,,,,,,
5,6,1,CN_DB_V8,1233,1,,,,,,,,,,,,,,,,,,,
DATAID,T/V/L/U,STRINGS,,,,,,GROUPS, PARAMETERS,,,,,,,,,,,,,,,
DATAid,T/V/L,Compund Group,Compound,SMILES,Formula,Source,Method,Null,CN (Exp),Mor32e,L/Bw,nROR,ESpm03d,nROH,CIC1,RDF090m,nR=Cs,nOHp,nHDon,DISPm,O-059,S3K,O-056,Mor16u
1230,L,Ethers,diethoxymethane,CCOCOCC,C5H12O2,Dahmen/Marquadt (ASG),IQT,0,57.4,0.248,5.32,2,3.186,0,2.58,0,0,0,0,3.478,2,5.922,0,0.128
1231,L,Ethers,2-isopropoxyethanol,CC(C)OCCO,C5H12O2,Dahmen/Marquadt (ASG),IQT,0,27.5,0.226,4.94,1,3.194,1,2.213,0,0,1,1,5.884,1,5.922,1,-0.154
1232,L,Ethers,dipropylene glycol monomethyl ether,CC(OCC(O)C)COC,C7H16O3,Dahmen/Marquadt (ASG),IQT,0,43.9,0.257,5.12,2,3.737,1,2.562,0.001,0,0,1,3.967,2,6.883,1,-0.184
1233,L,Ethers,ethylene glycol vinyl ether,OCCO.C=COC=C,C6H12O3,Dahmen/Marquadt (ASG),IQT,0,11.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1234,L,Ethers,tripropylene glycol monomethyl ether,CC(OCC(OCC(O)C)C)COC,C10H22O4,NREL (2014),IQT,0,81.3,0.529,5.66,3,4.13,1,3.091,0.481,0,0,1,2.113,3,9.221,1,-0.015
1235,L,Ethers,propylene glycol monomethyl ether acetate,CC(COC)OC(=O)C,C6H12O3,Dahmen/Marquadt (ASG),IQT,0,23,0.086,5.17,1,4.268,0,2.049,0,0,0,0,5.483,1,5.469,0,-0.096
1236,L,Ketones,?-undecanolactone,CCCCCCCC1CCC(=O)O1,C11H20O2,Dahmen/Marquadt (ASG),IQT,0,52.8,0.476,15.37,0,4.165,0,3.215,1.995,0,0,0,16.664,0,4.419,0,0.663
1237,L,Ketones,?-undecalactone,CCCCCCC1CCCC(=O)O1,C11H20O2,Dahmen/Marquadt (ASG),IQT,0,48.7,0.526,9.07,0,4.165,0,3.215,2.16,0,0,0,11.916,0,4.419,0,0.683
1238,L,Ketones,epsilon-decalactone,CCCCC1CCCCC(=O)O1,C10H18O2,Dahmen/Marquadt (ASG),IQT,0,40.7,0.057,4.95,0,4.165,0,3.019,0.117,0,0,0,6.447,0,3.744,0,0.153
1239,L,Ketones,whiskey lactone,CCCCC1C(CC(=O)O1)C,C9H16O2,Dahmen/Marquadt (ASG),IQT,0,26.6,0.077,3.49,0,4.254,0,2.621,0.002,0,0,0,11.751,0,2.298,0,0.407
1240,L,Ketones,butyl levulinate,CCCCOC(=O)CCC(=O)C,C9H16O3,NREL (2014),IQT,0,14.4,0.321,19.2,0,4.614,0,2.5,0.301,0,0,0,10.361,0,8.312,0,0.161
1241,L,Ketones,3-octanone,CCCCCC(=O)CC,C8H16O,Dahmen/Marquadt (ASG),IQT,0,36,0.414,15.8,0,3.873,0,2.91,0.123,0,0,0,3.914,0,5.548,0,0.529
1242,L,Ketones,octan-3-one,CCCCCC(=O)CC,C8H16O,NREL (2014),IQT,0,36,0.414,15.8,0,3.873,0,2.91,0.123,0,0,0,3.914,0,5.548,0,0.529
1243,L,Ketones,cycloheptanone,C1CCCC(=O)CC1,C7H12O,Dahmen/Marquadt (ASG),IQT,0,21.2,0.032,1.42,0,3.873,0,2.651,0,0,0,0,6.823,0,2.001,0,0.093
1244,L,Ketones,2-nonanone,CCCCCCCC(=O)C,C9H18O,Dahmen/Marquadt (ASG),IQT,0,46.1,0.497,21.55,0,3.83,0,3.095,0.807,0,0,0,8.095,0,8.825,0,0.754
1245,L,Ketones,4-methyl-2-pentanone,CC(C)CC(=O)C,C6H12O,Dahmen/Marquadt (ASG),IQT,0,10.6,0.182,3.7,0,3.952,0,2.369,0,0,0,0,5.624,0,5.675,0,0.276
1246,L,Ketones,3-pentanone,CCC(=O)CC,C5H10O,Dahmen/Marquadt (ASG),IQT,0,20.7,0.103,4.59,0,3.873,0,2.326,0,0,0,0,4.139,0,2.675,0,0.318
1247,L,Ketones,"3,3,5-trimethylcyclohexanone",CC1CC(=O)CC(C1)(C)C,C9H16O,Dahmen/Marquadt (ASG),IQT,0,10,0.371,1.12,0,4.358,0,2.721,0,0,0,0,7.032,0,2.103,0,0.546
1248,L,Ketones,2-octanone,CCCCCCC(=O)C,C8H16O,Dahmen/Marquadt (ASG),IQT,0,36.6,0.508,15.86,0,3.83,0,2.88,0.388,0,0,0,8.068,0,7.675,0,0.415
1249,L,Ketones,menthone,CC1CCC(C(=O)C1)C(C)C,C10H18O,Dahmen/Marquadt (ASG),IQT,0,19,0.378,2.98,0,4.221,0,2.89,0,0,0,0,4.29,0,2.05,0,0.552
1250,L,Ketones,4-hydroxy-4-methyl-2-pentanone,CC(=O)CC(C)(C)O,C6H12O2,Dahmen/Marquadt (ASG),IQT,0,9.9,0.197,3.32,0,4.362,1,2.003,0,0,0,1,5.03,0,6.852,1,0.263
1251,L,Ketones,"2,4-dimethyl-3-pentanone",CC(C)C(=O)C(C)C,C7H14O,Dahmen/Marquadt (ASG),IQT,0,14.9,0.12,3.68,0,4.162,0,2.877,0,0,0,0,3.009,0,2.556,0,0.405
1252,L,Ketones,cyclohexanone,C1CCC(=O)CC1,C6H10O,Dahmen/Marquadt (ASG),IQT,0,10.2,0.139,1.9,0,3.873,0,2.351,0,0,0,0,9.212,0,1.301,0,0.204
1253,L,Ketones,heptan-2-one,CCCCCC(C)=O,C7H14O,NREL (2014),IQT,0,30,0.426,11.59,0,3.83,0,2.639,0.008,0,0,0,5.882,0,6.889,0,0.329
1254,L,Ketones,2-heptanone,CCCCCC(=O)C,C7H14O,NREL (2014),IQT,0,30,0.426,11.59,0,3.83,0,2.639,0.008,0,0,0,5.882,0,6.889,0,0.329
1255,L,Naphthenes,1-methyl-3-dodecylcyclohexane,CCCCCCCCCCCCC1CCCC(C)C1,C19H38,NREL (2014),Unknown,0,70,1.958,47.31,0,2.565,0,4.597,4.009,0,0,0,3.211,0,9.521,0,1.897
1256,L,Naphthenes,3(R)-methyl-3-decalylnonane,CCCCCC[C@@](C)(CC)C1CCCC2CCCCC12,C20H38,Creton,?,0,18,1.674,6.02,0,3.761,0,4.432,2.505,0,0,0,3.792,0,4.023,0,0.655
1257,L,Naphthenes,5(R)-cyclohexyleicosane,CCCCCCCCCCCCCCC[C@@H](CCCC)C1CCCCC1,C26H52,NREL (2014),Unknown,0,66,2.275,21.71,0,2.565,0,5.109,2.509,0,0,0,2.764,0,13.786,0,2.273
1258,L,Naphthenes,methylcyclohexane,CC1CCCCC1,C7H14,Dahmen/Marquadt (ASG),IQT,0,23.5,0.623,2.05,0,1.946,0,3.091,0,0,0,0,0.7,0,1.5,0,0.198
1259,L,Naphthenes,propylcyclohexane,CCCC1CCCCC1,C9H18,Creton,?,0,52,0.618,5.35,0,1.946,0,3.508,0,0,0,0,1.948,0,2.38,0,0.451
1260,L,Naphthenes,5(S)-cyclohexyleicosane,CCCCCCCCCCCCCCC[C@H](CCCC)C1CCCCC1,C26H52,NREL (2014),Unknown,0,66,2.167,28.65,0,2.565,0,5.109,3.742,0,0,0,2.741,0,13.786,0,2.142
1261,L,Naphthenes,bicyclohexyl,C1CCC(CC1)C1CCCCC1,C12H22,NREL (2014),Unknown,0,51,1.252,4.95,0,2.565,0,3.921,0,0,0,0,0.001,0,2.25,0,0.4
1262,L,Naphthenes,4-methyl-4-decalylheptane,CCCC(C)(CCC)C1CCCC2CCCCC12,C18H34,Creton,?,0,21,1.598,1.74,0,3.761,0,4.241,0.028,0,0,0,2.566,0,3.135,0,0.383
1263,L,Naphthenes,cyclohexane,C1CCCCC1,C6H12,Dahmen/Marquadt (ASG),IQT,0,18.6,0.512,1,0,0,0,3.252,0,0,0,0,0.001,0,1.333,0,0.033
1264,L,Naphthenes,3(S)-methyl-3-decalylnonane,CCCCCC[C@](C)(CC)C1CCCC2CCCCC12,C20H38,Creton,?,0,18,1.159,3.2,0,3.761,0,4.432,2.655,0,0,0,3.752,0,4.023,0,0.787
1265,L,Naphthenes,butylcyclohexane,CCCCCOC(=O)CCCC,C10H20O2,?,?,0,28.8,0.453,31.98,0,4.022,0,3.127,0.137,0,0,0,2.918,0,8.636,0,0.198
1266,L,Naphthenes,butyldecalin,CCCCC1CCCC2CCCCC12,C14H26,NREL (2014),Unknown,0,31,1.227,3.57,0,2.944,0,4.005,0.049,0,0,0,2.793,0,2.534,0,0.775
1267,L,Naphthenes,"1,3,5-trimethylcyclohexane",CC1CC(C)CC(C)C1,C9H18,Dahmen/Marquadt (ASG),IQT,0,30.6,1.017,1,0,2.944,0,3.308,0,0,0,0,0.69,0,2,0,0.513
1268,L,Naphthenes,sec-(S)butyldecalin,CC[C@H](C)C1CCCC2CCCCC12,C14H26,NREL (2014),Unknown,0,34,1.101,1.63,0,3.219,0,3.905,0,0,0,0,2.391,0,2.173,0,0.347
1269,L,Naphthenes,2-methyl-2-cyclohexylpentadecane,CCCCCCCCCCCCCC(C)(C)C1CCCCC1,C22H44,Creton,?,0,45,2.522,44.4,0,3.434,0,4.764,7.32,0,0,0,3.54,0,9.694,0,2.126
1270,L,Naphthenes,2-methyl-2-decalyldecane,CCCCCCCCC(C)(C)C1CCCC2CCCCC12,C21H40,Creton,?,0,37,1.607,11.79,0,3.761,0,4.52,4.676,0,0,0,4.512,0,5,0,0.763
1271,L,Naphthenes,sec-(R)butyldecalin,CC[C@@H](C)C1CCCC2CCCCC12,C14H26,NREL (2014),Unknown,0,34,1.022,2.26,0,3.219,0,3.905,0,0,0,0,1.847,0,2.173,0,0.691
1272,L,Naphthenes,"1,2,4-trimethylcyclohexane",CC1CCC(C(C1)C)C,C9H18,Dahmen/Marquadt (ASG),IQT,0,23.5,0.929,2.74,0,2.944,0,3.308,0,0,0,0,0.689,0,1.704,0,0.528
1273,L,Naphthenes,trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,C10H18,NREL (2014),IQT,0,32,1.011,2.55,0,2.565,0,3.609,0,0,0,0,0,0,1.383,0,0.282
1274,L,Naphthenes,propyltetralin,CCCC1CCCc2ccccc12,C13H18,NREL (2014),Unknown,0,8,-0.01,2.46,0,3.524,0,2.558,0.001,0,0,0,8.71,0,1.769,0,0.323
1275,L,Naphthenes,cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,C10H18,NREL (2014),IQT (avg),0,40,1.119,2.31,0,2.565,0,3.609,0,0,0,0,0.825,0,1.383,0,0.373
1276,L,Naphthenes,"1,3,5-triisopropylcyclohexane",CC(C)C1CC(CC(C1)C(C)C)C(C)C,C15H30,Dahmen/Marquadt (ASG),IQT,0,24.5,1.554,1.41,0,3.611,0,4.066,0,0,0,0,1.227,0,3.5,0,1.505
1277,L,Naphthenes,2(S)-cyclohexyltetradecane,CCCCCCCCCCCC[C@H](C)C1CCCCC1,C20H40,Creton,?,0,57,2.146,38.83,0,2.565,0,4.681,5.446,0,0,0,3.687,0,9.563,0,1.976
1278,L,Naphthenes,2(R)-cyclohexyltetradecane,CCCCCCCCCCCC[C@@H](C)C1CCCCC1,C20H40,Creton,?,0,57,2.147,38.83,0,2.565,0,4.681,5.445,0,0,0,3.686,0,9.563,0,1.975
1279,L,Naphthenes,3(R)-cyclohexylhexane,CCC[C@@H](CC)C1CCCCC1,C12H24,NREL (2014),Unknown,0,36,0.9,2.52,0,2.565,0,3.834,0.004,0,0,0,1.942,0,3.114,0,0.968
1280,L,Naphthenes,tert-butyldecalin,CC(C)(C)C1CCCC2CCCCC12,C14H26,NREL (2014),Unknown,0,24,0.794,1.84,0,3.761,0,3.784,0,0,0,0,1.593,0,2.173,0,0.226
1281,L,Naphthenes,Methylcyclopentane ,CC1CCCC1,C6H12,Dahmen/Marquadt (ASG),IQT,0,15.2,-0.258,2.23,0,1.946,0,2.834,0,0,0,0,0.841,0,0.98,0,0.046
1282,L,Naphthenes,propyldecalin,CCCC1CCCC2CCCCC12,C13H24,NREL (2014),Unknown,0,35,1.189,2.53,0,2.944,0,3.874,0.004,0,0,0,1.985,0,2.083,0,0.695
1283,L,Naphthenes,3(S)-cyclohexylhexane,CCC[C@H](CC)C1CCCCC1,C12H24,NREL (2014),Unknown,0,36,0.931,3.52,0,2.565,0,3.834,0,0,0,0,2.088,0,3.114,0,0.723
1284,L,Naphthenes,decahydronaphthalene,C1CCC2CCCCC2C1,C10H18,Dahmen/Marquadt (ASG),IQT,0,33.5,1.011,2.55,0,2.565,0,3.609,0,0,0,0,0,0,1.383,0,0.282
1285,L,Naphthenes,butylcyclohexane,CCCCC1CCCCC1,C10H20,NREL (2014),IQT,0,47,0.706,7.44,0,1.946,0,3.681,0,0,0,0,2.528,0,3.111,0,0.647
1286,L,Olefins,(2E)-hept-2-ene,CCCC/C=C/C,C7H14,NREL (2014),Blend (IQT/CFR?),0,44,0.365,18.65,0,2.048,0,2.334,0.002,2,0,0,2.237,0,5.74,0,0.348
1287,L,Olefins,"(6E)-2,6,7-trimethyltridec-2,6-diene",CCCCCC/C(=C(\C)/CCC=C(C)C)/C,C16H30,Creton,?,0,24,0.734,19,0,3.986,0,3.617,0.333,1,0,0,4.038,0,9.464,0,0.594
1288,L,Olefins,(9Z)-9-methylheptadec-9-ene,CCCCCCCC/C(=C\CCCCCCC)/C,C18H36,Creton,?,0,66,1.442,1.9,0,3.101,0,4.103,2.533,1,0,0,4.197,0,14.74,0,1.578
1289,L,Olefins,1-dodecene,CCCCCCCCCCC=C,C12H24,Dahmen/Marquadt (ASG),IQT,0,56.8,1.068,60.42,0,1.685,0,3.361,0.742,1,0,0,4.541,0,10.855,0,1.173
1290,L,Olefins,ethylcyclohexane,CCC1CCCCC1,C8H16,NREL (2014),IQT,0,35.8,0.513,3.17,0,1.946,0,3.313,0,0,0,0,1.364,0,1.8,0,0.33
1291,L,Olefins,ethenylcyclohexane,C=CC1CCCCC1,C8H14,?,?,0,38,0.649,3.47,0,2.598,0,2.474,0,1,0,0,1.637,0,1.646,0,0.12
1292,L,Olefins,1-decene,CCCCCCCCC=C,C10H20,Dahmen/Marquadt (ASG),IQT,0,49.1,0.788,42.6,0,1.685,0,2.992,0.34,1,0,0,5.049,0,8.889,0,0.862
1293,L,Olefins,(4Z)-5-butyldodec-4-ene,CCCCCCC/C(=C\CCC)/CCCC,C16H32,NREL (2014),Unknown,0,45,0.865,2.81,0,3.189,0,3.898,4.593,1,0,0,1.693,0,11.07,0,1.008
1294,L,Olefins,1-hexene,CCCCC=C,C6H12,NREL (2014),IQT,0,25.8,0.362,16.46,0,1.685,0,1.96,0,1,0,0,3.63,0,5.105,0,0.3
1295,L,Olefins,"2,2,6,6,8,8-hexamethyl-4-methylene-nonane",C=C(CC(C)(C)C)CC(C)(C)CC(C)(C)C,C16H32,Creton,?,0,5,0.302,6.17,0,4.52,0,3.749,1.642,0,0,0,1.334,0,9.708,0,0.833
1296,L,Olefins,1-heptene,CCCCCC=C,C7H14,NREL (2014),IQT,0,32,0.477,22.97,0,1.685,0,2.265,0.007,1,0,0,3.789,0,5.74,0,0.413
1297,L,Olefins,1-octene,CCCCCCC=C,C8H16,NREL (2014),IQT,0,40,0.561,27.94,0,1.685,0,2.536,0,1,0,0,4.733,0,6.951,0,0.566
1298,L,Olefins,"(11E)-(10R,13S)-dimethyldoeicos-11-ene",CCCCCCCCC[C@@H](C)/C=C/[C@@H](C)CCCCCCCCC,C24H48,NREL (2014),Unknown,0,56,2.219,69.77,0,3.253,0,4.612,3.865,2,0,0,0.001,0,18.956,0,1.165
1299,L,Olefins,hex-1-ene,CCCCC=C,C6H12,NREL (2014),IQT,0,25.8,0.362,16.46,0,1.685,0,1.96,0,1,0,0,3.63,0,5.105,0,0.3
1300,L,Olefins,1-hexadecene,CCCCCCCCCCCCCCC=C,C16H32,NREL (2014),IQT,0,75.9,1.65,105.49,0,1.685,0,3.93,1.546,1,0,0,5.528,0,14.819,0,1.717
1301,L,Olefins,(2Z)-hept-2-ene,CCCC/C=C\C,C7H14,NREL (2014),Blend (IQT/CFR?),0,44,0.346,9.34,0,2.048,0,2.334,0,2,0,0,3.833,0,5.74,0,0.176
1302,L,Olefins,(2E)-oct-2-ene,CCCCC/C=C/C,C8H16,NREL (2014),Blend (IQT/CFR?),0,43,0.48,27.06,0,2.048,0,2.586,0.088,2,0,0,3.161,0,6.951,0,0.465
1303,L,Olefins,(9E)-9-methylheptadec-9-ene,CCCCCCCC/C(=C/CCCCCCC)/C,C18H36,NREL (2014),Unknown,0,66,1.341,9.47,0,3.101,0,4.103,1.893,1,0,0,2.326,0,14.74,0,1.614
1304,L,Olefins,diethylene glycol monomethyl ether,OCCOCCOC,C5H12O3,Dahmen/Marquadt (ASG),IQT,0,38.2,0.215,7.9,2,3.212,1,2.403,0,0,1,1,3.595,2,7.088,1,-0.177
1305,L,Olefins,oct-1-ene,CCCCCCC=C,C8H16,NREL (2014),IQT,0,40,0.561,27.94,0,1.685,0,2.536,0,1,0,0,4.733,0,6.951,0,0.566
1306,L,Olefins,7(R)-7-butyltridec-1-ene,CCCCCC[C@@H](CCCC)CCCCC=C,C17H34,NREL (2014),Unknown,0,36,0.991,1.97,0,2.433,0,3.89,4.38,1,0,0,3.575,0,11.994,0,1.871
1307,L,Olefins,cyclooctane,C1CCCCCCC1,C8H16,NREL (2014),IQT,0,22.3,-0.401,1.09,0,0,0,3.667,0,0,0,0,0.002,0,2.813,0,0.618
1308,L,Olefins,"3,12-diethyltetradeca-3,11-diene",CCC(=CCCCCCCC=C(CC)CC)CC,C18H34,NREL (2014),Unknown,0,26,0.702,15.67,0,3.861,0,3.798,1.055,2,0,0,1.628,0,10.161,0,0.092
1309,L,Olefins,"(11Z)-(10R,13R)-dimethyldoeicos-11-ene",CCCCCCCCC[C@@H](C)/C=C\[C@H](C)CCCCCCCCC,C24H48,NREL (2014),?,0,56,1.9,4.73,0,3.253,0,4.612,3.043,2,0,0,2.834,0,18.956,0,1.888
1310,L,Olefins,"(8E)-(7R,10S)-dimethylhexadec-8-ene",CCCCCC[C@@H](C)/C=C/[C@@H](C)CCCCCC,C18H36,NREL (2014),Unknown,0,43,1.427,32.63,0,3.253,0,4.078,1.381,2,0,0,0.001,0,13.032,0,1.242
1311,L,Olefins,(5E)-5-butyldodec-4-ene,CCCCCCC/C(=C/CCC)/CCCC,C16H32,NREL (2014),Unknown,0,45,0.924,4.51,0,3.189,0,3.898,1.44,1,0,0,1.47,0,11.07,0,0.994
1312,L,Olefins,(4Z)-4-butyldodec-4-ene,CCCCCCC/C=C(/CCC)\CCCC,C16H32,NREL (2014),Unknown,0,45,1.056,3.96,0,3.189,0,3.898,2.264,1,0,0,1.801,0,11.07,0,0.953
1313,L,Olefins,dodec-1-ene,CCCCCCCCCCC=C,C12H24,NREL (2014),IQT,0,56.8,1.068,60.42,0,1.685,0,3.361,0.742,1,0,0,4.541,0,10.855,0,1.173
1314,L,Olefins,7(S)-7-butyltridec-1-ene,CCCCCC[C@H](CCCC)CCCCC=C,C17H34,NREL (2014),Unknown,0,36,0.743,1.98,0,2.433,0,3.89,4.468,1,0,0,3.871,0,11.994,0,1.674
1315,L,Olefins,"2-methyl-1,3-butadiene",CC(=C)C=C,C5H8,Dahmen/Marquadt (ASG),IQT,0,11.1,0.294,1.98,0,2.433,0,1.413,0,1,0,0,1.869,0,3.481,0,0.049
1316,L,Olefins,(8Z)-8-propylpentadec-8-ene,CCCCCCC/C(=C\CCCCCC)/CCC,C18H36,NREL (2014),Unknown,0,45,1.127,1.85,0,3.189,0,4.116,5.946,1,0,0,1.978,0,13.032,0,1.047
1317,L,Olefins,(4E)-4-butyldodec-4-ene,CCCCCCC/C=C(\CCC)/CCCC,C16H32,NREL (2014),Unknown,0,45,0.991,5.34,0,3.189,0,3.898,1.503,1,0,0,2.1,0,11.07,0,1.089
1318,L,Olefins,undec-1-ene,CCCCCCCCCC=C,C11H22,NREL (2014),Unknown,0,65,0.918,52.29,0,1.685,0,3.185,0.541,1,0,0,4.392,0,9.74,0,1.01
1319,L,Olefins,"(8Z)-(7R,10R)-dimethylhexadec-8-ene",CCCCCC[C@@H](C)/C=C\[C@H](C)CCCCCC,C18H36,NREL (2014),Unknown,0,43,1.178,4.35,0,3.253,0,4.078,0.56,2,0,0,3.371,0,13.032,0,1.272
1320,L,Olefins,tetradec-1-ene,CCCCCCCCCCCCC=C,C14H28,NREL (2014),Unknown (avg),0,81,1.355,81.38,0,1.685,0,3.668,1.143,1,0,0,5.414,0,12.833,0,1.465
1321,L,Olefins,hexadec-1-ene,CCCCCCCCCCCCCCC=C,C16H32,NREL (2014),IQT,0,86,1.65,105.49,0,1.685,0,3.93,1.546,1,0,0,5.528,0,14.819,0,1.717
1322,L,Olefins,"(11Z)-(10S,13S)-dimethyldoeicos-11-ene",CCCCCCCCC[C@H](C)/C=C\[C@@H](C)CCCCCCCCC,C24H48,Creton,?,0,56,1.877,9.5,0,3.253,0,4.612,5.328,2,0,0,2.684,0,18.956,0,2.163
1323,L,Olefins,"2,5-dimethyl-2,4-hexadiene",CC(=CC=C(C)C)C,C8H14,Dahmen/Marquadt (ASG),IQT,0,19.2,0.073,4.28,0,3.42,0,2.592,0,2,0,0,0.001,0,6.704,0,0.276
1324,L,Olefins,"2,4,4-trimethylpent-1-ene",CC(=C)CC(C)(C)C,C8H16,NREL (2014),"Blend (20%, method?)",0,11,0.237,2.7,0,3.734,0,2.502,0,0,0,0,2.222,0,6.951,0,0.19
1325,L,Olefins,"(6Z)-2,6,7-trimethyltridec-2,6-diene",CCCCCC/C(=C(/C)\CCC=C(C)C)/C,C16H30,NREL (2014),Unknown,0,24,0.733,2.79,0,3.986,0,3.617,1.263,1,0,0,2.602,0,9.464,0,0.765
1326,L,Olefins,"1,9-decadiene",C=CCCCCCCC=C,C10H18,Dahmen/Marquadt (ASG),IQT,0,41,0.719,46.32,0,2.281,0,2.59,0.166,2,0,0,0.217,0,8.635,0,0.636
1327,L,Olefins,"(11E)-(10R,13R)-dimethyldoeicos-11-ene",CCCCCCCCC[C@@H](C)/C=C/[C@H](C)CCCCCCCCC,C24H48,NREL (2014),Unknown,0,56,1.967,7.98,0,3.253,0,4.612,4.769,2,0,0,2.188,0,18.956,0,2.039
1328,L,Olefins,"(11E)-(10S,13S)-dimethyldoeicos-11-ene",CCCCCCCCC[C@H](C)/C=C/[C@@H](C)CCCCCCCCC,C24H48,NREL (2014),Unknown,0,56,1.966,7.98,0,3.253,0,4.612,4.769,2,0,0,2.186,0,18.956,0,2.038
1329,L,Olefins,"dec-1,9-diene",C=CCCCCCCC=C,C10H18,NREL (2014),IQT,0,41,0.719,46.32,0,2.281,0,2.59,0.166,2,0,0,0.217,0,8.635,0,0.636
1330,L,Olefins,"(8Z)-(7S,10S)-dimethylhexadec-8-ene",CCCCCC[C@H](C)/C=C\[C@@H](C)CCCCCC,C18H36,NREL (2014),Unknown,0,43,1.093,8.3,0,3.253,0,4.078,2.845,2,0,0,2.772,0,13.032,0,1.208
1331,L,Olefins,"(11Z)-(10R,13S)-dimethyldoeicos-11-ene",CCCCCCCCC[C@@H](C)/C=C\[C@@H](C)CCCCCCCCC,C24H48,NREL (2014),Unknown,0,56,1.826,2.42,0,3.253,0,4.612,5.055,2,0,0,3.93,0,18.956,0,1.856
1332,L,Olefins,non-1-ene,CCCCCCCC=C,C9H18,NREL (2014),Unknown,0,51,0.673,36.07,0,1.685,0,2.777,0.139,1,0,0,4.752,0,7.74,0,0.704
1333,L,Olefins,1-nonene,CCCCCCCC=C,C9H18,Dahmen/Marquadt (ASG),IQT,0,51,0.673,36.07,0,1.685,0,2.777,0.139,1,0,0,4.752,0,7.74,0,0.704
1334,L,Olefins,7-hexylpentadec-7-ene,CCCCCCCC=C(CCCCCC)CCCCCC,C21H42,?,?,0,47,1.597,1.72,0,3.189,0,4.401,7.391,1,0,0,1.452,0,15.943,0,1.534
1335,L,Olefins,octadec-1-ene,CCCCCCCCCCCCCCCCC=C,C18H36,NREL (2014),Unknown,0,90,1.945,132.73,0,1.685,0,4.158,1.948,1,0,0,4.846,0,16.808,0,1.908
1336,L,Olefins,(2Z)-oct-2-ene,CCCCC/C=C\C,C8H16,NREL (2014),"Blend (20%, method?)",0,43,0.479,12.31,0,2.048,0,2.586,0.008,2,0,0,3.826,0,6.951,0,0.268
1337,L,Olefins,dec-1-ene,CCCCCCCCC=C,C10H20,NREL (2014),Unknown,0,59,0.788,42.6,0,1.685,0,2.992,0.34,1,0,0,5.049,0,8.889,0,0.862
1338,L,Olefins,3-octene,CCCCC=CCC,C8H16,Dahmen/Marquadt (ASG),IQT,0,36,0.439,13.02,0,2.281,0,2.638,0.008,2,0,0,2.336,0,6.951,0,0.545
1339,L,Olefins,(8E)-8-propylpentadec-8-ene,CCCCCCC/C(=C/CCCCCC)/CCC,C18H36,NREL (2014),Unknown,0,45,1.123,4.89,0,3.189,0,4.116,2.224,1,0,0,1.612,0,13.032,0,1.093
1340,L,Olefins,"(8Z)-(7R,10S)-dimethylhexadec-8-ene",CCCCCC[C@@H](C)/C=C\[C@@H](C)CCCCCC,C18H36,NREL (2014),Unknown,0,43,1.128,2.48,0,3.253,0,4.078,2.579,2,0,0,3.12,0,13.032,0,1.233
1341,L,Olefins,"(8E)-(7S,10S)-dimethylhexadec-8-ene",CCCCCC[C@H](C)/C=C/[C@@H](C)CCCCCC,C18H36,NREL (2014),Unknown,0,43,1.197,7.81,0,3.253,0,4.078,2.285,2,0,0,1.344,0,13.032,0,1.63
1342,L,Olefins,"(8E)-(7R,10R)-dimethylhexadec-8-ene",CCCCCC[C@@H](C)/C=C/[C@H](C)CCCCCC,C18H36,NREL (2014),Unknown,0,43,1.199,7.81,0,3.253,0,4.078,2.285,2,0,0,1.334,0,13.032,0,1.629
1343,L,Paraffins,"(10S,13S)-dimethyldocosane",CCCCCCCCC[C@H](C)CC[C@@H](C)CCCCCCCCC,C24H50,NREL (2014),Unknown,0,56,1.657,111.87,0,2.565,0,4.963,4.345,0,0,0,0.155,0,19.214,0,2.478
1344,L,Paraffins,"(10R,13R)-dimethyldocosane",CCCCCCCCC[C@@H](C)CC[C@H](C)CCCCCCCCC,C24H50,NREL (2014),Unknown,0,56,1.656,111.86,0,2.565,0,4.963,4.346,0,0,0,0.154,0,19.214,0,2.482
1345,L,Paraffins,2-methyloctadecane,CCCCCCCCCCCCCCCCC(C)C,C19H40,Dahmen/Marquadt (ASG),IQT,0,86.5,2.012,104.47,0,1.946,0,4.682,2.841,0,0,0,0.408,0,18,0,2.106
1346,L,Paraffins,"2,7-dimethyl-(4S,5S)-diethyloctane",CC[C@@H](CC(C)C)[C@@H](CC)CC(C)C,C14H30,NREL (2014),Calculated from Cetene value*0.875,0,39,0.161,2.43,0,3.219,0,4.062,0,0,0,0,0.503,0,6.188,0,0.839
1347,L,Paraffins,"2,7-dimethyl-(4R,5R)-diethyloctane",CC[C@H](CC(C)C)[C@H](CC)CC(C)C,C14H30,NREL (2014),Unknown,0,39,0.545,3.5,0,3.219,0,4.062,0,0,0,0,0.235,0,6.188,0,1.728
1348,L,Paraffins,"2,2-dimethyloctane",CCCCCCC(C)(C)C,C10H22,NREL (2014),Unknown,0,59,0.939,15.1,0,3.219,0,3.679,0.201,0,0,0,0.614,0,9.143,0,0.812
