"DATAID","ASSIGNMENT","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Name","SMILES","Target","SpMax6_Bhs","R_TpiPCTPC","AATS3p","VP-0","SIC1","nsssSnH","MIC0","nN","nC","CIC2","R_TpiPCTPC","MLFER_L","maxsAsH2","WPOL","RNCG"
"UMLYSI0067","L","","CC1=CC=CC=C1C=C","408.1","1.4095706525730993","3.5454545454545454","1.4966557349784295","5.593858127134677","0.5537636657799017","0.0","6.618775012237978","0","9","1.2168113409875643","3.5454545454545454","4.287999999999999","0.0","10.0","0.19624858624380678"
"UMLYSI0068","T","","CC1=C(C(=C(C=C1)C)C)C","393","1.918618889236591","2.9583333333333335","1.6199009378855336","7.1547005383792515","0.427298569338156","0.0","6.772325919164824","0","10","2.4591479170272454","2.9583333333333335","4.848","0.0","14.0","0.12755059811819572"
"UMLYSI0069","T","","CC1=CC(=C(C=C1C)C)C","393","2.293436943621612","2.9583333333333335","1.5975359537777778","7.1547005383792515","0.427298569338156","0.0","6.772325919164824","0","10","2.6258145836939124","2.9583333333333335","4.848","0.0","13.0","0.12107300998352985"
"UMLYSI0070","V","","CC1=CC(=C(C(=C1)C)C)C","386.2","2.216199364981234","2.9583333333333335","1.5975359537777782","7.1547005383792515","0.427298569338156","0.0","6.772325919164824","0","10","2.375814583693912","2.9583333333333335","4.848","0.0","13.0","0.12158477068678397"
"UMLYSI0071","T","","CC1=CC=CC(=C1)C#C","384.6","1.0799743198737772","3.961038961038961","1.571555589989934","5.386751345948129","0.7013120894701713","0.0","6.344815581266023","0","9","0.7502875001272629","3.961038961038961","3.907","0.0","9.0","0.23654259623427498"
"UMLYSI0072","L","","C1CCC(CC1)C2=CC=CC=C2","377.3","2.4883515644427328","2.5978835978835977","1.208424129697126","7.499635521070494","0.4585478886743127","0.0","6.751545309820625","0","12","2.0835248724156203","2.5978835978835977","6.042999999999999","0.0","14.0","0.10089867669660699"
"UMLYSI0073","L","","CCC1=CC=CC=C1CC","376.3","1.8667363894765214","3.0106382978723403","1.311001117896765","6.723614639131599","0.4981849093623235","0.0","6.772325919164824","0","10","1.7295739585136234","3.0106382978723403","4.894","0.0","12.0","0.12018880203041056"
"UMLYSI0074","L","","CC1=CC=C(C=C1)C#C","374.7","1.1240437673567725","3.961038961038961","1.571555589989934","5.386751345948129","0.7013120894701713","0.0","6.344815581266023","0","9","0.9855816177743217","3.961038961038961","3.907","0.0","9.0","0.23663736510127012"
"UMLYSI0075","L","","CC(C)C1=CC(=CC=C1)C(C)C","353.3","2.5715728656350834","2.840909090909091","1.342026856056317","8.464101615137757","0.44769525408772753","0.0","6.790894279573414","0","12","2.2339850002884623","2.840909090909091","5.436","0.0","15.0","0.1021483933369331"
"UMLYSI0076","T","","CC=CC1=CC=CC=C1","352.2","1.2024843429868086","3.7733333333333334","1.3435841465369156","5.5414518843273814","0.5054412220080522","0.0","6.618775012237978","0","9","1.4220815794028345","3.7733333333333334","4.358","0.0","8.0","0.1695403351348265"
